migration_id,media_type,old_path,new_path,action,database_record_status,original_filename
S8-MEDIA-056,image,assets/patterns/犄纹.png,assets/images/patterns/pattern-03.png,move_without_content_change,pending_step_9,犄纹.png
S8-MEDIA-057,image,assets/patterns/盘肠纹.png,assets/images/patterns/pattern-04.png,move_without_content_change,pending_step_9,盘肠纹.png
S8-MEDIA-058,image,assets/patterns/回纹.png,assets/images/patterns/pattern-05.png,move_without_content_change,pending_step_9,回纹.png
S8-MEDIA-059,image,assets/performance/fingering-main.jpg,assets/images/performance/fingering-main.jpg,move_without_content_change,pending_step_9,fingering-main.jpg
S8-MEDIA-060,image,assets/performance/posture-main.jpg,assets/images/performance/posture-main.jpg,move_without_content_change,pending_step_9,posture-main.jpg
S8-MEDIA-061,image,assets/performance/posture-upper-new.png,assets/images/performance/posture-upper.png,move_without_content_change,pending_step_9,posture-upper-new.png
S8-MEDIA-062,image,assets/performance/posture-lower-new.png,assets/images/performance/posture-lower.png,move_without_content_change,pending_step_9,posture-lower-new.png
S8-MEDIA-063,audio,assets/performance/sounds/do.mp3,assets/audio/performance/do.mp3,move_without_content_change,pending_step_9,do.mp3
S8-MEDIA-064,audio,assets/performance/sounds/re.mp3,assets/audio/performance/re.mp3,move_without_content_change,pending_step_9,re.mp3
S8-MEDIA-065,audio,assets/performance/sounds/mi.mp3,assets/audio/performance/mi.mp3,move_without_content_change,pending_step_9,mi.mp3
S8-MEDIA-066,audio,assets/performance/sounds/sol.mp3,assets/audio/performance/sol.mp3,move_without_content_change,pending_step_9,sol.mp3
S8-MEDIA-067,audio,assets/performance/sounds/la.mp3,assets/audio/performance/la.mp3,move_without_content_change,pending_step_9,la.mp3
S8-MEDIA-068,image,assets/tools/锯子.png,assets/images/materials-tools/tool-01.png,move_without_content_change,pending_step_9,锯子.png
S8-MEDIA-069,image,assets/tools/美工刀.png,assets/images/materials-tools/tool-02.png,move_without_content_change,pending_step_9,美工刀.png
S8-MEDIA-070,image,assets/tools/电钻.png,assets/images/materials-tools/tool-03.png,move_without_content_change,pending_step_9,电钻.png
S8-MEDIA-071,image,assets/tools/钳子.png,assets/images/materials-tools/tool-04.png,move_without_content_change,pending_step_9,钳子.png
S8-MEDIA-072,image,assets/tools/卷尺.png,assets/images/materials-tools/tool-05.png,move_without_content_change,pending_step_9,卷尺.png
S8-MEDIA-073,image,assets/tools/刷子.png,assets/images/materials-tools/tool-06.png,move_without_content_change,pending_step_9,刷子.png
S8-MEDIA-074,image,assets/tools/各类工具.png,assets/images/materials-tools/tool-07.png,move_without_content_change,pending_step_9,各类工具.png
S8-MEDIA-075,image,img/动物琴头.png,assets/images/components/animal-headstock.png,move_without_content_change,pending_step_9,动物琴头.png
S8-MEDIA-076,image,img/两弦构造.png,assets/images/components/two-string-structure.png,move_without_content_change,pending_step_9,两弦构造.png
S8-MEDIA-077,image,img/梯形琴箱.png,assets/images/components/trapezoid-soundbox.png,move_without_content_change,pending_step_9,梯形琴箱.png
S8-MEDIA-078,image,img/morin-khuur-watercolor.png,assets/images/components/morin-khuur-watercolor.png,move_without_content_change,pending_step_9,morin-khuur-watercolor.png
